Qubits,Depth,TrainN,probe_seconds,peak_MB
6,2,450,1.55,4.7
6,2,900,2.96,5.5
6,2,1800,5.91,7.2
6,4,450,2.38,4.7
6,4,900,4.75,5.5
6,4,1800,9.31,7.2
6,6,450,3.15,4.7
6,6,900,6.28,5.5
6,6,1800,12.5,7.2
8,2,450,2.54,12.2
8,2,900,5.03,13.7
8,2,1800,10.24,16.8
8,4,450,4.29,12.2
8,4,900,8.51,13.7
8,4,1800,16.1,16.8
8,6,450,5.7,12.2
8,6,900,10.99,13.7
8,6,1800,22.61,16.8
10,2,450,6.35,42.0
10,2,900,12.16,46.3
10,2,1800,24.52,54.9
10,4,450,9.28,42.0
10,4,900,18.64,46.3
10,4,1800,36.94,54.9
10,6,450,12.7,42.0
10,6,900,25.53,46.3
10,6,1800,50.77,54.9
